id,Sex,Length,Diameter,Height,Weight,Age,price
9096,F,1.6125,1.2375,0.425,30.220567,12,8.00
9097,M,1.0875,0.875,0.275,10.5176645,6,9.00
9098,M,1.3875,1.0875,0.325,21.38969775,13,5.00
9099,I,1.1,0.925,0.2625,12.9557215,8,9.00
9100,F,1.4125,1.15,0.3125,27.08794725,9,9.00
9101,I,1.45,1.0625,0.35,21.87163925,8,9.00
9102,M,1.2875,0.975,0.3375,17.349894,9,8.00
9103,I,1.35,1.0125,0.4,20.93610575,10,9.00
9104,M,1.4,1.0125,0.3125,22.8780465,10,10.00
9105,I,1.1625,0.8375,0.2625,14.571643,8,8.00
9106,M,1.45,1.1375,0.3875,29.21415975,9,5.00
9107,I,0.9875,0.7375,0.25,9.39785925,7,7.00
9108,M,1.5125,1.1875,0.425,30.94347925,11,8.00
9109,F,1.575,1.2,0.4125,35.498621,11,7.00
9110,M,1.5,1.2375,0.4375,36.7693015,9,9.00
9111,I,0.8375,0.6625,0.1875,4.422522,8,9.00
9112,M,1.6375,1.3125,0.4875,38.82464025,10,9.00
9113,I,0.875,0.6875,0.2125,5.59902625,6,9.00
9114,F,1.4875,1.1625,0.425,31.6096925,11,7.00
9115,M,1.55,1.2125,0.4125,32.1199835,10,8.00
9116,I,1.25,0.975,0.2625,15.09610875,8,8.00
9117,M,1.9125,1.45,0.45,54.5727875,10,10.00
9118,F,0.6625,0.4875,0.15,2.8066005,5,8.00
9119,M,1.7,1.375,0.45,50.632207,10,6.00
9120,I,1.475,1.1375,0.3625,26.94619975,11,9.00
9121,I,1.4625,1.2,0.4,28.81726675,9,6.00
9122,M,1.525,1.2,0.4125,33.622507,13,7.00
9123,I,0.875,0.65,0.225,5.613201,6,7.00
9124,M,1.5625,1.1625,0.375,27.14464625,8,7.00
9125,F,1.2625,0.9375,0.3125,18.597272,11,8.00
9126,I,1.1875,0.9375,0.275,12.813974,8,10.00
9127,F,1.4625,1.125,0.375,26.2232875,10,5.00
9128,M,1.7125,1.375,0.5,49.5265765,14,9.00
9129,M,1.575,1.25,0.4375,37.024447,11,10.00
9130,M,1,0.7875,0.275,8.448151,7,10.00
9131,M,1.3625,1.1,0.375,24.16794875,12,10.00
9132,I,0.95,0.675,0.2,6.13766675,8,10.00
9133,M,1.525,1.2125,0.4375,35.210079,9,10.00
9134,F,1.3125,0.9875,0.4,20.05727125,9,5.00
9135,M,1.325,1.05,0.325,20.70930975,11,10.00
9136,I,1.1875,0.9125,0.2875,12.7289255,8,10.00
9137,I,1.15,0.9375,0.3125,14.50076925,8,8.00
9138,I,0.5375,0.375,0.125,1.304077,7,9.00
9139,M,1.6375,1.225,0.4,44.9906565,10,6.00
9140,I,1.55,1.2,0.425,34.06192425,9,5.00
9141,F,1.675,1.3125,0.4125,41.63124075,10,6.00
9142,M,1.0875,0.875,0.275,11.94931425,17,5.00
9143,M,1.375,1.0625,0.375,23.51591025,12,8.00
9144,I,0.9375,0.675,0.225,6.0384435,7,6.00
9145,M,1.35,1.0125,0.35,24.94756,11,6.00
9146,I,1,0.775,0.225,8.12213175,7,8.00
9147,I,0.875,0.6625,0.2125,5.5848515,7,9.00
9148,M,1.1,0.85,0.3125,11.60912025,9,9.00
9149,M,1.45,1.15,0.3875,24.16794875,14,7.00
9150,F,1.475,1.125,0.4125,28.3495,14,7.00
9151,F,1.3625,1.1,0.3625,21.58814425,12,9.00
9152,F,1.5375,1.1875,0.425,31.6096925,11,10.00
9153,M,1.6,1.275,0.4125,39.519203,20,8.00
9154,F,1.525,1.2375,0.45,34.58639,15,10.00
9155,F,1.8,1.375,0.45,54.941331,10,5.00
9156,M,1.4,1.075,0.4,22.1409595,9,6.00
9157,F,1.325,1.075,0.375,21.21960075,14,6.00
9158,F,1.475,1.1625,0.3625,28.08017975,10,9.00
9159,F,1.3875,1.0625,0.35,24.9192105,8,7.00
9160,I,0.9375,0.725,0.2375,8.5898985,7,9.00
9161,M,1.5,1.15,0.4125,32.205032,8,8.00
9162,M,1.5625,1.1875,0.4,32.034935,9,9.00
9163,M,1.8,1.375,0.525,53.4388075,12,10.00
9164,M,1.4375,1.1125,0.325,24.097075,12,8.00
9165,F,1.375,1.075,0.4,24.777463,10,7.00
9166,I,1.2375,1,0.375,21.659018,8,9.00
9167,M,0.925,0.7,0.1875,7.83863675,9,10.00
9168,M,1.4375,1.175,0.4625,31.62386725,13,5.00
9169,F,1.425,1.0625,0.35,24.90503575,10,10.00
9170,F,1.5,1.1625,0.375,31.241149,11,6.00
9171,M,1.4125,1.1625,0.375,29.97959625,13,8.00
9172,F,1.6375,1.2875,0.45,37.194544,9,7.00
9173,I,1.3125,0.95,0.3125,14.5432935,9,5.00
9174,M,1.2125,0.925,0.325,14.81261375,12,8.00
9175,F,1.2875,0.9625,0.3125,21.829115,14,5.00
9176,I,0.875,0.6625,0.2375,5.10291,6,7.00
9177,F,1.6625,1.2875,0.475,44.04094825,16,8.00
9178,I,0.4125,0.3125,0.125,0.66621325,4,5.00
9179,I,0.825,0.6375,0.25,5.5848515,5,5.00
9180,M,1.6375,1.2875,0.5,39.19318375,17,7.00
9181,F,1.525,1.1625,0.375,29.313383,8,7.00
9182,F,1.4875,1.1375,0.425,34.79901125,9,9.00
9183,M,1.425,1.125,0.375,23.40251225,10,9.00
9184,F,1.25,0.9625,0.3375,17.08057375,10,7.00
9185,F,1.225,0.8875,0.3125,17.349894,17,5.00
9186,M,1.375,1,0.325,17.349894,8,7.00
9187,I,1.5625,1.15,0.4,36.967748,10,5.00
9188,M,1.4,1.0875,0.4,28.4345485,20,8.00
9189,M,1.65,1.275,0.4875,39.972795,10,7.00
9190,I,0.4,0.3,0.1,0.5953395,4,8.00
9191,I,1.175,0.8875,0.3125,14.81261375,8,6.00
9192,F,1.6375,1.3,0.475,40.78075575,15,8.00
9193,I,0.4625,0.325,0.1,0.75126175,5,9.00
9194,M,1.2875,1,0.35,16.34348675,10,10.00
9195,M,0.475,0.3375,0.1375,0.89300925,5,8.00
9196,I,1.075,0.825,0.25,11.41067375,7,6.00
9197,M,1.45,1.1625,0.3875,27.78251,8,6.00
9198,F,1.3,1.0625,0.35,22.5378525,10,9.00
9199,I,1.2875,1.0875,0.35,16.9246515,10,7.00
9200,I,0.4,0.3,0.125,0.97805775,4,5.00
9201,F,1.2625,1.0125,0.4375,25.911443,13,9.00
9202,I,1.25,1,0.3375,17.05222425,7,9.00
9203,F,1.65,1.2625,0.475,44.21104525,15,10.00
9204,I,1.325,1.025,0.325,21.659018,9,7.00
9205,I,0.8875,0.6875,0.225,6.23689,6,10.00
9206,F,1.5625,1.2125,0.475,36.85435,12,6.00
9207,F,1.4125,1.125,0.4,28.066005,10,8.00
9208,M,1.675,1.3125,0.475,45.282501,20,8.00
9209,M,1.275,1,0.3125,17.5483405,12,10.00
9210,F,1.225,0.95,0.3125,17.84601025,10,6.00
9211,I,0.9125,0.6625,0.2125,6.10931725,6,8.00
9212,I,0.9125,0.65,0.2125,5.9250455,5,8.00
9213,M,1.3875,1.1,0.3375,20.76600875,12,5.00
9214,F,1.1875,0.9375,0.325,15.88989475,12,8.00
9215,M,0.925,0.725,0.225,7.21494775,6,7.00
9216,M,1.6125,1.225,0.4375,39.405805,9,5.00
9217,M,1.5125,1.2125,0.3875,36.61337925,10,8.00
9218,F,1.25,0.9625,0.2875,16.386011,8,7.00
9219,F,1.6125,1.2375,0.3875,34.74231225,9,8.00
9220,I,1.2625,0.9625,0.3,14.81261375,8,5.00
9221,F,1.4625,1.15,0.4625,33.55163325,9,5.00
9222,I,1.3625,1.05,0.375,22.24018275,11,7.00
9223,F,1.2625,0.975,0.325,16.31513725,10,8.00
9224,F,0.925,0.725,0.225,6.350288,11,8.00
9225,I,0.825,0.6625,0.225,5.6415505,7,7.00
9226,M,1.2625,0.9125,0.2875,16.68368075,10,5.00
9227,M,1.1875,0.9125,0.3,32.21920675,9,7.00
9228,I,0.9875,0.725,0.25,6.50621025,8,5.00
9229,F,1.6,1.25,0.4125,36.07201825,10,6.00
9230,F,1.3,1.025,0.325,21.6873675,9,10.00
9231,M,1.225,0.9375,0.35,16.5844575,8,5.00
9232,F,1.2875,0.95,0.275,16.23008875,9,5.00
9233,I,1.375,1.0625,0.3375,21.27629975,9,8.00
9234,F,1.775,1.4375,0.4125,45.7277435,14,6.00
9235,F,1.5,1.1875,0.55,29.95124675,18,10.00
9236,I,1.2,0.9125,0.2875,18.540573,10,5.00
9237,F,1.4875,1.175,0.3875,29.8520235,12,5.00
9238,M,1.525,1.175,0.3625,28.122704,11,9.00
9239,M,1.575,1.2625,0.3875,33.6508565,11,6.00
9240,M,1.2375,0.9375,0.3125,14.5999925,8,9.00
9241,I,1.375,1.1125,0.4125,20.638436,9,8.00
9242,M,1.4875,1.1625,0.425,33.18308975,11,5.00
9243,M,1.75,1.4125,0.3875,48.477645,11,9.00
9244,I,1.2875,0.9875,0.3125,16.23008875,9,8.00
9245,I,1.0125,0.7625,0.225,9.68135425,8,10.00
9246,I,1.1,0.875,0.3375,12.47378,11,7.00
9247,F,1.4375,1.125,0.3625,22.5378525,11,5.00
9248,F,1.6125,1.25,0.45,40.78075575,14,6.00
9249,M,1.675,1.3125,0.4625,41.00755175,9,8.00
9250,M,1.275,1,0.35,25.3728025,6,6.00
9251,F,1.45,1.15,0.3875,28.02348075,8,10.00
9252,F,1.5375,1.1875,0.3625,31.70891575,16,5.00
9253,M,1.175,0.875,0.2875,14.04717725,11,9.00
9254,I,1,0.775,0.225,7.144074,7,10.00
9255,F,1.425,1.125,0.3625,23.48756075,12,7.00
9256,I,0.4,0.275,0.0875,0.4252425,3,5.00
9257,M,1.7,1.325,0.4875,42.807745,11,10.00
9258,I,0.9125,0.675,0.225,6.81805475,7,7.00
9259,I,1.325,1.0375,0.325,19.71707725,9,7.00
9260,I,0.9,0.7,0.2,6.13766675,6,9.00
9261,I,1.2625,0.95,0.35,19.43358225,11,5.00
9262,M,1.6375,1.225,0.4625,48.94541175,9,9.00
9263,I,1.0875,0.85,0.275,12.984071,8,8.00
9264,F,1.6125,1.275,0.4375,36.61337925,12,7.00
9265,M,1.625,1.2875,0.425,40.66735775,11,6.00
9266,F,1.675,1.375,0.5125,54.0624965,15,7.00
9267,F,1.4375,1.0625,0.325,23.91280325,9,9.00
9268,F,1.6125,1.275,0.475,34.5013415,15,7.00
9269,M,1.575,1.225,0.425,33.8776525,11,6.00
9270,M,1.425,1.125,0.3875,23.09066775,8,5.00
9271,M,1.5625,1.2125,0.3875,36.72677725,9,9.00
9272,M,1.475,1.2,0.4125,28.973189,15,9.00
9273,M,1.2625,0.9625,0.3125,18.10115575,10,9.00
9274,I,1.375,1.025,0.35,23.79940525,8,7.00
9275,M,1.5625,1.3125,0.4125,35.59279725,14,9.00
9276,I,0.6625,0.5,0.1625,2.2396105,4,7.00
9277,F,1.775,1.3625,0.4625,46.45065575,10,8.00
9278,F,1.425,1.1,0.3875,26.43590875,13,9.00
9279,F,1.375,1.05,0.35,23.00561925,9,7.00
9280,I,0.725,0.5625,0.1875,4.365823,6,7.00
9281,M,1.45,1.15,0.375,31.19862475,9,7.00
9282,M,1.2,0.975,0.3125,16.45688475,9,8.00
9283,I,1.2125,0.925,0.2875,16.68368075,9,9.00
9284,I,1.1125,0.8125,0.25,10.432616,7,9.00
9285,M,1.225,0.95,0.325,16.40018575,9,10.00
9286,F,1.2375,0.9375,0.3,14.628342,8,5.00
9287,M,1.3,1.0375,0.3125,20.3265915,9,6.00
9288,F,1.7125,1.325,0.4625,50.39123625,17,5.00
9289,M,1.6375,1.2625,0.4625,37.2027055,11,8.00
9290,M,1.425,1.125,0.3875,24.36639525,9,7.00
9291,M,1.5625,1.2375,0.425,36.4291075,11,8.00
9292,M,1.425,1.0625,0.4,24.73493875,8,7.00
9293,M,1.5375,1.175,0.4375,33.4807595,16,5.00
9294,F,1.675,1.3125,0.4875,38.79629075,11,10.00
9295,I,0.9875,0.7375,0.25,8.901743,7,5.00
9296,F,1.5375,1.2125,0.4,30.674159,11,9.00
9297,M,1.15,0.8875,0.3125,13.891255,17,5.00
9298,M,1.35,1.0625,0.3375,22.566202,13,9.00
9299,M,1.475,1.25,0.4125,30.220567,12,5.00
9300,F,1.0625,0.8125,0.2625,11.55242125,11,5.00
9301,I,1.0125,0.75,0.225,7.654365,8,7.00
9302,F,1.575,1.2875,0.4375,39.3774555,10,10.00
9303,I,1.05,0.7875,0.2375,9.1001895,7,6.00
9304,F,1.55,1.2125,0.4,32.95629375,14,9.00
9305,M,1.8375,1.375,0.4875,49.99434325,12,6.00
9306,M,1.2625,0.9,0.3125,14.3731965,9,6.00
9307,M,1.35,1,0.375,20.76600875,7,6.00
9308,I,1.0625,0.825,0.2375,10.75863525,6,8.00
9309,F,1.525,1.2,0.475,34.5013415,15,9.00
9310,I,0.9875,0.7375,0.25,7.0590255,7,10.00
9311,F,1.6,1.3125,0.5,37.23706825,11,6.00
9312,I,1.4375,1.15,0.475,28.39202425,21,8.00
9313,F,1.425,1.0375,0.425,21.75824125,8,6.00
9314,I,1.25,0.95,0.325,14.628342,7,6.00
9315,M,1.3875,1.175,0.3625,24.040376,9,6.00
9316,F,1.5625,1.225,0.3875,32.5168765,10,6.00
9317,M,0.4375,0.3,0.1,1.06310625,5,7.00
9318,M,1.375,1.0625,0.3125,26.138239,9,6.00
9319,I,1.125,0.8625,0.275,12.6722265,8,6.00
9320,F,1.5875,1.2625,0.5125,40.92250325,11,7.00
9321,I,1.425,1.075,0.3375,25.67047225,8,9.00
9322,F,1.6375,1.275,0.3875,38.82464025,10,6.00
9323,M,1.5125,1.1875,0.4375,32.07745925,12,7.00
9324,F,0.775,0.5625,0.1875,5.06038575,13,7.00
9325,M,1.7625,1.4125,0.55,54.81375825,11,9.00
9326,M,1.7125,1.2625,0.475,43.6298805,17,7.00
9327,M,1.9375,1.4125,0.5375,62.95006475,10,7.00
9328,F,1.2625,0.9875,0.3125,19.447757,9,5.00
9329,M,1.5625,1.225,0.425,34.5580405,10,9.00
9330,I,0.9125,0.7125,0.2,6.25106475,6,5.00
9331,M,1.4375,1.1125,0.3625,28.6718325,9,9.00
9332,M,1.5625,1.2125,0.5875,34.5580405,22,7.00
9333,I,1.3,1.025,0.3125,19.1926115,9,10.00
9334,F,1.6,1.275,0.4375,42.8360945,14,10.00
9335,M,1.3375,0.975,0.3375,21.27629975,9,7.00
9336,M,1.475,1.1625,0.4125,28.87396575,12,5.00
9337,F,1.3625,1.075,0.4125,23.91280325,16,6.00
9338,M,1.0875,0.8875,0.3125,11.396499,9,10.00
9339,F,1.45,1.1875,0.425,30.91512975,14,10.00
9340,F,1.45,1.125,0.4125,26.2232875,10,7.00
9341,I,0.7375,0.5375,0.2,3.4302895,3,7.00
9342,M,1.4,1.175,0.35,24.6357155,10,5.00
9343,M,0.7,0.525,0.1625,2.154562,8,7.00
9344,M,1.1,0.8375,0.3125,10.8578585,9,8.00
9345,F,1.5,1.1625,0.4,28.50542225,12,6.00
9346,M,1.2125,0.9125,0.25,14.10387625,8,9.00
9347,I,1.0375,0.8125,0.275,10.41844125,7,10.00
9348,I,0.95,0.725,0.25,8.12213175,7,5.00
9349,I,0.4375,0.325,0.1375,0.8221355,4,8.00
9350,I,1.2125,0.95,0.35,18.6256215,9,5.00
9351,M,1.1125,0.8125,0.25,16.68368075,7,6.00
9352,I,1.3875,1.075,0.275,19.57532975,11,7.00
9353,F,1.5125,1.25,0.4125,29.48348,10,5.00
9354,F,1.525,1.1875,0.475,35.777069,11,6.00
9355,M,1.6,1.2,0.4,28.76056775,11,8.00
9356,F,1.6875,1.3125,0.4625,47.8823055,11,7.00
9357,I,1.3375,1,0.3125,19.8729995,9,10.00
9358,F,1.575,1.25,0.375,32.98464325,11,5.00
9359,M,1.6,1.2125,0.425,34.1611475,12,9.00
9360,M,1.4,1.1125,0.3375,23.530085,10,6.00
9361,M,1.2375,0.9625,0.3125,16.31513725,9,7.00
9362,F,1.55,1.1375,0.4375,31.96406125,10,6.00
9363,I,0.925,0.6875,0.25,7.72523875,7,10.00
9364,M,1.225,0.9625,0.3125,17.08057375,10,8.00
9365,I,0.6875,0.4875,0.1625,3.21766825,5,7.00
9366,M,1.4875,1.1875,0.375,31.808139,9,5.00
9367,F,1.575,1.2625,0.475,36.85435,13,7.00
9368,M,1.5625,1.225,0.4125,29.9654215,11,6.00
9369,M,1.4,1.125,0.35,29.9087225,11,6.00
9370,M,1.5125,1.2375,0.475,34.5013415,9,10.00
9371,I,0.6375,0.4625,0.1625,2.16873675,4,9.00
9372,I,0.925,0.6875,0.2375,6.180191,9,5.00
9373,M,1.4125,1.125,0.3875,29.95124675,11,8.00
9374,I,1.1375,0.875,0.35,11.736693,8,7.00
9375,M,1.2375,1,0.3375,18.597272,11,5.00
9376,F,1.525,1.2,0.425,35.72037,14,10.00
9377,M,1.2625,1,0.4,21.55979475,10,8.00
9378,I,0.4125,0.3125,0.125,0.66621325,5,10.00
9379,M,1.65,1.2875,0.5,39.27823225,11,9.00
9380,I,0.4,0.3,0.0625,0.510291,4,5.00
9381,M,1.2125,1.0625,0.3875,21.50309575,10,10.00
9382,I,1.3875,1.0625,0.4375,24.097075,13,5.00
9383,M,1.325,1.1,0.3625,23.88445375,17,5.00
9384,F,1.675,1.3125,0.475,50.7739545,14,9.00
9385,F,1.7375,1.375,0.475,52.29065275,11,6.00
9386,F,1.5375,1.175,0.4,32.36095425,9,7.00
9387,M,1.3875,1.125,0.3125,26.138239,7,7.00
9388,I,1.0625,0.7875,0.3,10.3475675,7,6.00
9389,I,0.975,0.7875,0.275,8.0229085,8,6.00
9390,I,1.1,0.825,0.325,12.3320325,6,7.00
9391,F,1.0125,0.7625,0.275,9.25611175,15,8.00
9392,M,1.575,1.225,0.4625,37.83240775,11,7.00
9393,M,1.625,1.275,0.475,39.2073585,11,9.00
9394,F,1.175,0.875,0.3,10.886208,12,8.00
9395,M,1.2125,0.8875,0.3125,13.39513875,8,6.00
9396,I,1.1625,0.9,0.3125,13.48018725,8,8.00
9397,I,1.2625,0.975,0.2875,16.34348675,8,6.00
9398,F,1.425,1.1875,0.375,24.81998725,10,7.00
9399,F,1.4625,1.1375,0.4,27.76833525,9,7.00
9400,M,1.175,0.925,0.2625,14.628342,8,10.00
9401,F,1.4875,1.1375,0.425,30.7592075,10,6.00
9402,F,1.375,1.1125,0.4125,25.67047225,15,10.00
9403,I,0.7375,0.5875,0.2125,4.43669675,13,6.00
9404,I,0.6875,0.5,0.175,3.67126025,5,8.00
9405,M,1.175,0.925,0.3375,16.9246515,10,5.00
9406,M,1.3625,1.0875,0.3875,24.62154075,11,9.00
9407,I,1.125,0.8875,0.275,12.34620725,9,5.00
9408,M,1.45,1.175,0.3875,28.576296,12,5.00
9409,F,1.125,0.8375,0.3,12.48795475,10,7.00
9410,F,1.5625,1.2,0.375,34.23202125,13,6.00
9411,F,1.6875,1.3,0.4625,41.97143475,10,6.00
9412,F,1.175,0.9125,0.35,19.09338825,9,8.00
9413,F,1.5,1.2375,0.45,36.967748,12,10.00
9414,I,0.9375,0.7,0.275,7.6827145,7,10.00
9415,M,1.5625,1.2625,0.4,33.06969175,10,9.00
9416,I,0.85,0.6875,0.2,5.3013565,5,7.00
9417,I,1.1125,0.8625,0.2625,12.68640125,7,6.00
9418,F,1.2625,0.975,0.3125,16.42853525,9,6.00
9419,F,1.55,1.175,0.375,33.55163325,9,10.00
9420,I,0.925,0.6625,0.1625,5.3013565,6,6.00
9421,F,1.4125,1.1,0.375,25.231055,8,10.00
9422,M,1.6125,1.3125,0.45,37.42134,9,10.00
9423,I,1.05,0.7875,0.25,8.3064035,13,6.00
9424,I,1.575,1.2125,0.375,35.096681,9,5.00
9425,F,1.8375,1.4125,0.4875,52.276478,11,9.00
9426,F,1.7875,1.4,0.4375,45.57182125,13,9.00
9427,F,1.575,1.15,0.425,26.94619975,12,6.00
9428,F,1.55,1.2,0.4125,28.462898,10,10.00
9429,I,1,0.7875,0.225,7.98038425,8,6.00
9430,I,0.75,0.575,0.2,3.55786225,7,5.00
9431,I,0.9,0.6625,0.225,5.613201,7,6.00
9432,M,1.45,1.175,0.425,28.7180435,13,6.00
9433,M,1.5125,1.1625,0.375,27.45649075,11,6.00
9434,F,1.5875,1.3125,0.375,36.4291075,11,8.00
9435,F,1.475,1.175,0.375,28.33532525,10,9.00
9436,M,1.1625,0.875,0.275,12.530479,9,5.00
9437,I,1.55,1.2,0.425,32.92794425,9,8.00
9438,F,1.575,1.25,0.4125,34.37376875,10,9.00
9439,I,1.025,0.775,0.3125,14.07552675,7,6.00
9440,M,1.4875,1.1875,0.375,30.83008125,8,5.00
9441,M,1.3125,1.0125,0.35,17.349894,10,7.00
9442,M,1.3125,0.975,0.325,19.4761065,7,10.00
9443,M,1.4375,1.0875,0.4125,25.61377325,16,7.00
9444,F,1.4,1.0625,0.375,27.68328675,8,10.00
9445,F,1.2625,1,0.3125,18.597272,11,10.00
9446,M,1.2125,0.925,0.3625,14.58581775,17,7.00
9447,I,0.675,0.4875,0.2,2.62232875,12,10.00
9448,M,1.375,1.0125,0.325,22.2543575,8,6.00
9449,F,1.4,1.075,0.3625,22.01338675,10,7.00
9450,I,1.2375,1,0.3625,20.25571775,8,10.00
9451,I,0.9625,0.7125,0.2,6.7755305,7,9.00
9452,I,1.2625,1.05,0.35,20.41164,8,5.00
9453,F,1.1,0.875,0.3,15.2236815,8,7.00
9454,F,1.5625,1.2125,0.4375,37.591437,9,8.00
9455,I,0.9,0.675,0.2125,5.6699,7,5.00
9456,I,0.6875,0.5,0.1875,2.62232875,5,10.00
9457,I,0.7375,0.5625,0.175,3.86970675,6,6.00
9458,M,1.25,0.9625,0.3125,17.36406875,8,7.00
9459,F,1.6125,1.3125,0.45,39.3774555,15,7.00
9460,M,1.0375,0.8125,0.25,10.33339275,6,8.00
9461,M,1.425,1.1125,0.4,24.6924145,11,8.00
9462,I,1.175,0.875,0.3,14.67086625,7,9.00
9463,M,1.6125,1.25,0.4375,36.07201825,10,6.00
9464,F,1.75,1.3625,0.475,47.513762,10,9.00
9465,I,1.4375,1.125,0.3375,26.29416125,9,9.00
9466,I,1.3,0.975,0.325,16.42853525,9,7.00
9467,F,1.275,0.975,0.325,15.88989475,8,10.00
9468,M,1.4875,1.1625,0.3625,28.3778495,12,5.00
9469,I,1.1375,0.8875,0.275,12.71475075,8,10.00
9470,I,0.9125,0.675,0.225,5.8116475,7,5.00
9471,I,1.2875,0.975,0.2875,15.025235,7,8.00
9472,F,1.5,1.1875,0.4375,31.19862475,10,7.00
9473,F,1.6,1.2875,0.4125,31.2694985,11,10.00
9474,I,0.8875,0.6625,0.1875,5.273007,7,8.00
9475,I,1.15,0.8625,0.275,12.43125575,7,5.00
9476,I,1.2125,0.975,0.3125,15.365429,12,9.00
9477,F,1.5875,1.2375,0.4375,42.921143,9,7.00
9478,M,1.2125,0.925,0.325,16.42853525,8,5.00
9479,F,1.2375,0.9625,0.325,16.839603,9,9.00
9480,M,1.45,1.15,0.35,28.33532525,16,9.00
9481,F,1.1,0.8875,0.325,16.23008875,10,10.00
9482,M,1.6375,1.275,0.4375,38.96638775,11,6.00
9483,I,0.7,0.525,0.1625,2.721552,5,10.00
9484,M,1.3125,1,0.3125,18.71067,9,6.00
9485,F,1.575,1.225,0.4625,34.9549335,11,7.00
9486,F,1.375,1.05,0.375,22.963095,10,7.00
9487,I,1.25,0.9375,0.275,13.154168,8,7.00
9488,M,1.5125,1.225,0.45,41.673765,14,7.00
9489,I,0.975,0.725,0.25,7.44174375,7,5.00
9490,M,1.1875,0.9,0.25,12.54465375,10,7.00
9491,M,1.0625,0.8125,0.3,8.5898985,14,8.00
9492,I,1.225,0.9875,0.3125,15.5638755,7,7.00
9493,F,1.5125,1.1625,0.3875,31.18445,14,10.00
9494,F,1.625,1.2875,0.475,45.68521925,12,9.00
9495,I,0.5875,0.45,0.125,1.45999925,6,8.00
9496,F,1.2875,0.9875,0.3375,20.87940675,14,8.00
9497,F,1.6,1.275,0.4875,34.5013415,13,8.00
9498,I,0.9375,0.725,0.225,6.0951425,7,9.00
9499,F,1.525,1.2125,0.425,33.55163325,12,5.00
9500,M,1.625,1.275,0.5375,42.354153,12,10.00
9501,M,1.5125,1.2375,0.475,38.11590275,14,8.00
9502,I,0.45,0.2625,0.0875,0.75126175,6,8.00
9503,F,1.025,0.825,0.2875,10.41844125,11,5.00
9504,I,0.9875,0.7375,0.2125,7.144074,6,9.00
9505,F,1.5,1.225,0.3875,31.18445,11,9.00
9506,I,0.725,0.5,0.1625,3.38776525,6,8.00
9507,F,1.45,1.0625,0.3625,24.097075,10,10.00
9508,F,1.4375,1.1125,0.4,24.16794875,14,7.00
9509,M,1.75,1.3375,0.4375,44.22522,10,5.00
9510,F,1.025,0.775,0.275,8.901743,10,5.00
9511,M,1.4125,1.1,0.45,29.0582375,12,7.00
9512,M,1.1625,0.9125,0.3,13.8062065,12,10.00
9513,M,1.8,1.4,0.4375,55.8201655,14,7.00
9514,M,1.4875,1.1625,0.3875,29.44095575,10,9.00
9515,I,0.975,0.75,0.225,7.5126175,7,9.00
9516,I,0.4375,0.2625,0.0875,0.8221355,4,8.00
9517,I,0.5125,0.3625,0.1,1.06310625,4,9.00
9518,M,1.225,0.8875,0.3,16.386011,8,9.00
9519,I,1.175,0.9375,0.275,13.05494475,8,7.00
9520,F,1.6875,1.325,0.425,44.04094825,19,5.00
9521,M,1.5625,1.225,0.4125,37.0527965,11,6.00
9522,M,1.2875,0.975,0.3625,19.4194075,13,9.00
9523,M,1.5375,1.175,0.4,32.772022,13,9.00
9524,F,1.25,0.975,0.3,17.463292,7,9.00
9525,M,1.45,1.1,0.4125,30.43318825,15,7.00
9526,M,1.4125,1.1125,0.3625,26.2232875,9,10.00
9527,F,1.4125,1.1,0.3875,30.4190135,10,8.00
9528,F,1.5125,1.175,0.375,26.2232875,9,10.00
9529,F,1.575,1.2,0.4375,32.6302745,19,10.00
9530,I,1.1,0.875,0.3125,11.94931425,9,10.00
9531,I,0.9625,0.8375,0.2375,7.6260155,6,10.00
9532,I,0.7375,0.55,0.1875,3.21766825,7,6.00
9533,M,0.9375,0.725,0.225,6.7188315,7,7.00
9534,I,1.15,0.8625,0.2875,14.5432935,7,10.00
9535,I,0.825,0.5625,0.1875,4.876114,7,6.00
9536,F,1.5875,1.25,0.375,32.6302745,11,8.00
9537,F,1.5625,1.25,0.45,42.14153175,11,10.00
9538,M,1.375,1.075,0.4125,22.75047375,11,7.00
9539,M,1.25,1,0.35,20.0997955,10,7.00
9540,F,1.4875,1.1875,0.4,26.988724,12,7.00
9541,M,1.3125,1.0375,0.375,21.659018,8,9.00
9542,M,1.3875,1.1,0.4125,24.8625115,11,5.00
9543,I,1.175,0.875,0.3125,14.64251675,8,6.00
9544,I,1.0375,0.8125,0.25,9.07184,9,8.00
9545,F,1.3625,1.025,0.35,21.4038725,10,6.00
9546,M,1.2125,0.925,0.3125,15.66309875,10,5.00
9547,F,1.4375,1.1125,0.3375,26.3366855,9,10.00
9548,I,1.15,0.9375,0.325,13.3526145,7,5.00
9549,I,0.9625,0.675,0.2125,6.0951425,8,10.00
9550,I,1.25,0.9875,0.3625,24.777463,13,10.00
9551,M,1.0625,0.775,0.275,10.41844125,10,10.00
9552,I,1.3,1.0625,0.375,21.64484325,14,8.00
9553,I,1.55,1.175,0.4,27.1304715,9,6.00
9554,F,1.325,1.05,0.325,19.17843675,10,6.00
9555,I,1.3625,1.05,0.375,20.97863,9,10.00
9556,F,1.4625,1.1875,0.45,33.89182725,11,8.00
9557,M,1.2,0.9125,0.325,16.91047675,9,9.00
9558,F,1.6375,1.2625,0.475,41.8722115,11,5.00
